title,tags,description
get the SHA1 signature,{android},
"when using `by` for property delegation with `collectAsState`, there will be an error unless you import `import androidx.compose.runtime.getValue`",{android},
switch user and choose which shell to use,{bash},
retain environment variables when using sudo,{bash},
check if a folder exists using the `test` commands,{bash},
css,{css},
position a `position: absolute` element inside a `relative`,{css},
prevent an element from exceeding the screen and ever overflowing,{css},
"use `pointer-events: none` to disable mouse events of an element. can be useful when two elements are stacked on top of each other, and you want to allow the events of the element beneath through",{css},
feathered clipping mask,{css},
output cue file to json,{cue},
pass file to curl as data,{curl},
"docker build creates cache, which can add up",{docker},
get docker,{docker},
list containers by name,{docker},
basic health check,{docker},
troubleshooting,{docker},
Error response from daemon: client version 1.40 is too new...,"{docker, troubleshooting}",
etc,{docker},
docker ps name and status format,"{docker, etc}",
global user.email user.name,{git},
credential cache helper,{git},
disable credential helper for single command,{git},
go,{go},
bypass unused function error,{go},
embedded types,{go},
mutex classes,{go},
init function in packages,{go},
type signature for parameters of self containing recursive functions,{go},
generics + type constraint,{go},
`struct`s cannot be `const` because they're inherently composite types,{go},
safe map look up,{go},
get go,{go},
k8,{k8},
"set `imagePullPolicy` to `Always`, then delete the pod, to easily update the pod with a newer image",{k8},
restart deployment,{k8},
null saftey expression,{kotlin},
kotlin vscode tasks,{kotlin},
tar switches,{linux},
kill a proc in `jobs` using `%` syntax,{linux},
jobs,{linux},
cd follow sym link,{linux},
list all listening ports and associated services,{linux},
get umask,{linux},
misc,{misc},
devtools,{misc},
"alternate values like the squares on a chess board, if you have indices for x + y (row and column)",{misc},
installing on corp VM,{misc},
Microsoft Tunnels,{misc},
steps to install tunnels,"{misc, Microsoft Tunnels}",
nodejs,{nodejs},
run node tools from cli,{nodejs},
set NODE_PATH,{nodejs},
node_modules bin dir,{nodejs},
organise later,{organise later},
python,{python},
etc,{python},
"1px loading icon with the cursor set to the start of the line. this makes it so when another thread prints to stdout, it will overwrite the loading logo.","{python, etc}",
protocol vs abc,"{python, etc}",
to force typecast use `cast`,"{python, etc}",
"use seconds if it's >60 or minutes, and add 's' . uses the fact that `string=""a""[:-1]` gives the empty string","{python, etc}",
"all try/catch blocks of code, should have a unit test associated with it","{python, etc}",
forward declare,"{python, etc}",
add a function to an object instance and have it take self,"{python, etc}",
typing a function that returns `self`,"{python, etc}",
learnings for making programs easier to test,"{python, etc}",
function which might be passed an RLock or None,"{python, etc}",
"when extending multiple classes, the functions of the first class takes precedence","{python, etc}",
go through all child mocks created (properties of mocks),"{python, etc}",
monkeytype add type hints,"{python, etc}",
interactive pdb,"{python, etc}",
mock all missing imports dynamically,"{python, etc}",
asyncio,"{python, etc}",
shared class field across all object instances,"{python, etc}",
`__post_init__` for dataclasses,"{python, etc}",
function overload,"{python, etc}",
`str.startswith` and `str.endswith` can take a `Tuple` as a parameter (https://docs.python.org/3/library/stdtypes.html#str.startswith),"{python, etc}",
decorators are applied from **bottom up**,"{python, etc}",
disable default console logger after adding more handlers by disabling `propagate`,"{python, etc}",
"preserve type inference of wrapped functions (i don't get how this works, need to read it later, but it works)","{python, etc}",
poetry,{python},
usage,"{python, poetry}",
poetry make venv locally,"{python, poetry}",
pytest,{python},
"label a test, and run all tests with that label","{python, pytest}",
run a specific `pytest` (with stdout collection),"{python, pytest}",
mypy,{python},
mypy to text with certain logs removed,"{python, mypy}",
error handling,{python},
log an exception with traceback,"{python, error handling}",
catch multiple class of exceptions in one block,"{python, error handling}",
decorator,"{python, error handling}",
the takeaway might be to always raise exceptions in a decorator,{python},
async,"{python, the takeaway might be to always raise exceptions in a decorator}",
pyenv,{python},
some libraries required,"{python, pyenv}",
set global python version,"{python, pyenv}",
script to install `pyenv` to install `python` to install `pipx` to install `poetry` ...,"{python, pyenv}",
django,{python},
server event stream in django,"{python, django}",
django interactive shell,"{python, django}",
lint + formatting,{python},
rich logger,{python},
module structure,{python},
pyproject.toml,"{python, module structure}",
setup.py,"{python, module structure}",
install module develop mode,"{python, module structure}",
redis,{redis},
list keys,{redis},
read stream,{redis},
find keys and pipe to delete,{redis},
rust,{rust},
a `reference` and `pointer` are not the same thing (i think),{rust},
list services,{s6},
restart service,{s6},
lint sql,{sql},
appending innerHTML breaks all event listeners,{stupid front end stuff},
`filter` effect on child elements,{stupid front end stuff},
svelte,{svelte},
spa,{svelte},
"use `{@const}` to create in-template variables, also works with reactive states (but you cannot create reactive states i.e. $state rune, in the directive",{svelte},
getting vitest set up (fucking pita),{svelte},
basics,{tmux},
rename window / pane,{tmux},
window,"{tmux, rename window / pane}",
pane,"{tmux, rename window / pane}",
session,{tmux},
minimise session,"{tmux, session}",
attach to running session,"{tmux, session}",
typescript,{typescript},
better tsc config options for writing ts files to be used as js for the browser,{typescript},
transpile multile ts files,{typescript},
dynamic (hacky??) type guard,{typescript},
"`this` can be typehinted in the function signature, useful when using with `bind`",{typescript},
debug in vscode,{typescript},
custom tasks,{vs code},
smooth fade animation that doesn't snap between transitions,{vue},
pytest,{pytest},
pyenv,{pyenv},
pyenv,{pyenv},
Microsoft Tunnels,{Microsoft Tunnels},
web,{web},
